antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
organic baby spinach,banana,0.0874706860956886,0.17255617245595398,0.018119500511114228,0.20714940421631528,1.2004751917477274,1.0,0.0030258937163459704,1.0436314634110453,0.18300401726020404,0.07490264313530531,0.041807347651668665,0.15607789643967118
banana,organic baby spinach,0.17255617245595398,0.0874706860956886,0.018119500511114228,0.10500638866302706,1.2004751917477274,1.0,0.0030258937163459704,1.0195931036213128,0.20182219596447143,0.07490264313530531,0.01921659096332029,0.15607789643967118
organic baby spinach,bag of organic bananas,0.0874706860956886,0.1366579142530717,0.018841073540317894,0.21539871677360223,1.5761891138972997,1.0,0.006887512020195932,1.1003577284461434,0.40059903662498164,0.09177894942394063,0.09120463813878274,0.17663452999137724
bag of organic bananas,organic baby spinach,0.1366579142530717,0.0874706860956886,0.018841073540317894,0.13787034320915226,1.5761891138972997,1.0,0.006887512020195932,1.0584594865940107,0.4234223838698381,0.09177894942394063,0.055230726668741965,0.17663452999137724
organic baby spinach,organic strawberries,0.0874706860956886,0.09416528031107815,0.0135294942975687,0.15467461044912925,1.642586417606962,1.0,0.005292792622365856,1.0715811105238424,0.42870296746985304,0.08048169786574459,0.06679952625224056,0.14917638568433472
organic strawberries,organic baby spinach,0.09416528031107815,0.0874706860956886,0.0135294942975687,0.14367816091954022,1.6425864176069618,1.0,0.005292792622365856,1.0656382591902696,0.4318713075033744,0.08048169786574459,0.06159525394681796,0.14917638568433472
limes,banana,0.05273496221763444,0.17255617245595398,0.011885911286604798,0.22538958570885595,1.3061809525613348,1.0,0.002786168051720453,1.068206432908923,0.247459035053477,0.05569644031182493,0.06385135944480724,0.14713549444578586
banana,limes,0.17255617245595398,0.05273496221763444,0.011885911286604798,0.06888140318271577,1.306180952561335,1.0,0.002786168051720453,1.0173409069696089,0.283293299661531,0.05569644031182493,0.01704532556472434,0.14713549444578586
limes,large lemon,0.05273496221763444,0.05620252149686316,0.010182197189873924,0.19308247814519194,3.4354771459136133,1.0,0.007218359342201058,1.1696331445792525,0.7483857101442514,0.10310533793383397,0.14503106838706586,0.18712611781724647
large lemon,limes,0.05620252149686316,0.05273496221763444,0.010182197189873924,0.181169757489301,3.4354771459136133,1.0,0.007218359342201058,1.1568515531105197,0.7511353167841934,0.10310533793383397,0.13558485761529235,0.18712611781724647
organic whole milk,banana,0.04954801467198493,0.17255617245595398,0.011605299553025595,0.23422330097087377,1.357374225663592,1.0,0.0030554837884364267,1.0805288651288334,0.27700872401226984,0.05513235574176347,0.07452726875485352,0.1507392495097138
banana,organic whole milk,0.17255617245595398,0.04954801467198493,0.011605299553025595,0.06725519804855384,1.3573742256635921,1.0,0.0030554837884364267,1.018983952887781,0.3181889609015509,0.05513235574176347,0.018630276594622405,0.1507392495097138
banana,organic fuji apple,0.17255617245595398,0.034815898659076784,0.013268926259245155,0.07689627134394239,2.208653928394145,1.0,0.007261228046020485,1.0455857466269043,0.6613567268734932,0.06836018174308138,0.04359828619887506,0.22900656975372136
